date,equity,capital,unrealized_pnl,open_positions,spot
2022-01-03,100000.0,100000.0,0.0,0,453.21038818359375
2022-01-05,100000.0,100000.0,0.0,0,444.35888671875
2022-01-07,100000.0,100000.0,0.0,0,442.18634033203125
2022-01-10,100000.0,100000.0,0.0,0,441.6361083984375
2022-01-12,100000.0,100000.0,0.0,0,446.8634948730469
2022-01-14,100000.0,100000.0,0.0,0,440.8865661621094
2022-01-19,100000.0,100000.0,0.0,0,428.581787109375
2022-01-21,100000.0,100000.0,0.0,0,415.51800537109375
2022-01-24,100000.0,100000.0,0.0,0,417.2826232910156
2022-01-26,100000.0,100000.0,0.0,0,411.1539001464844
2022-01-28,100000.0,100000.0,0.0,0,419.28448486328125
2022-01-31,100000.0,100000.0,0.0,0,426.8361511230469
2022-02-02,100000.0,100000.0,0.0,0,433.8946228027344
2022-02-04,100000.0,100000.0,0.0,0,425.6882019042969
2022-02-07,100000.0,100000.0,0.0,0,424.32208251953125
2022-02-09,100000.0,100000.0,0.0,0,434.0748596191406
2022-02-11,100000.0,100000.0,0.0,0,417.87078857421875
2022-02-14,100000.0,100000.0,0.0,0,416.5046081542969
2022-02-16,100000.0,100000.0,0.0,0,423.69586181640625
2022-02-23,100000.0,100000.0,0.0,1,400.31011962890625
2022-02-25,100000.0,100000.0,0.0,2,415.2997741699219
2022-02-28,100000.0,100000.0,0.0,3,414.2371826171875
2022-03-02,100000.0,100000.0,0.0,4,415.4326171875
2022-03-04,100000.0,100000.0,0.0,5,410.0059814453125
2022-03-07,100000.0,100000.0,0.0,6,397.9193115234375
2022-03-09,101695.61665771484,101695.61665771484,0.0,6,405.4900817871094
2022-03-11,103076.48228759765,103076.48228759765,0.0,6,398.52655029296875
2022-03-14,104348.33045654297,104348.33045654297,0.0,6,395.61395263671875
2022-03-16,106759.97295654297,106759.97295654297,0.0,6,413.279052734375
2022-03-18,107812.61226806641,107812.61226806641,0.0,6,423.03265380859375
2022-03-21,107661.82772949219,107661.82772949219,0.0,5,422.9089660644531
2022-03-23,108234.06424316406,108234.06424316406,0.0,4,422.3475341796875
2022-03-25,107116.42111328125,107116.42111328125,0.0,3,430.80780029296875
2022-03-28,105442.90432861328,105442.90432861328,0.0,2,433.8721008300781
2022-03-30,105179.34521728515,105179.34521728515,0.0,1,436.5272216796875
2022-04-01,106641.6990234375,106641.6990234375,0.0,0,431.0267028808594
2022-04-04,106641.6990234375,106641.6990234375,0.0,0,434.7191467285156
2022-04-06,106641.6990234375,106641.6990234375,0.0,0,424.93603515625
2022-04-08,106641.6990234375,106641.6990234375,0.0,0,425.9352722167969
2022-04-11,106641.6990234375,106641.6990234375,0.0,0,418.65509033203125
2022-04-13,106641.6990234375,106641.6990234375,0.0,0,421.8811950683594
2022-04-18,106641.6990234375,106641.6990234375,0.0,0,416.79937744140625
2022-04-20,106641.6990234375,106641.6990234375,0.0,0,423.2135009765625
2022-04-22,106641.6990234375,106641.6990234375,0.0,1,405.4460144042969
2022-04-25,106641.6990234375,106641.6990234375,0.0,2,407.796630859375
2022-04-27,106641.6990234375,106641.6990234375,0.0,3,397.0998840332031
2022-05-02,106641.6990234375,106641.6990234375,0.0,4,394.4447937011719
2022-05-04,106641.6990234375,106641.6990234375,0.0,4,408.3200378417969
2022-05-06,106978.58701904297,106978.58701904297,0.0,4,391.4565734863281
2022-05-09,105527.08211914063,105527.08211914063,0.0,4,378.9231872558594
2022-05-11,105070.46667724609,105070.46667724609,0.0,4,373.7651672363281
2022-05-13,105070.46667724609,105070.46667724609,0.0,5,382.3016052246094
2022-05-16,105390.05275634765,105390.05275634765,0.0,4,380.75042724609375
2022-05-18,105390.05275634765,105390.05275634765,0.0,5,372.9181823730469
2022-05-20,104837.59750976562,104837.59750976562,0.0,5,370.7959289550781
2022-05-23,106600.86532714844,106600.86532714844,0.0,5,377.73358154296875
2022-05-25,108237.93507324219,108237.93507324219,0.0,4,378.161865234375
2022-05-27,109151.54365234375,109151.54365234375,0.0,3,395.18707275390625
2022-06-01,109551.25699462891,109551.25699462891,0.0,2,389.7911682128906
2022-06-03,109640.82695800782,109640.82695800782,0.0,1,390.6952209472656
2022-06-06,110092.62713867189,110092.62713867189,0.0,0,391.88482666015625
2022-06-08,110092.62713867189,110092.62713867189,0.0,0,391.34234619140625
2022-06-10,110092.62713867189,110092.62713867189,0.0,1,370.957763671875
2022-06-13,110092.62713867189,110092.62713867189,0.0,2,356.8731689453125
2022-06-15,110092.62713867189,110092.62713867189,0.0,3,360.87017822265625
2022-06-17,110092.62713867189,110092.62713867189,0.0,4,349.678955078125
2022-06-22,110092.62713867189,110092.62713867189,0.0,4,357.8316955566406
2022-06-27,112334.6646386719,112334.6646386719,0.0,2,371.4037170410156
2022-06-29,113805.66213867189,113805.66213867189,0.0,1,363.5185546875
2022-07-01,114219.07492675782,114219.07492675782,0.0,0,364.37884521484375
2022-07-06,114219.07492675782,114219.07492675782,0.0,0,366.2998962402344
2022-07-08,114219.07492675782,114219.07492675782,0.0,0,371.4801940917969
2022-07-11,114219.07492675782,114219.07492675782,0.0,0,367.2365417480469
2022-07-13,114219.07492675782,114219.07492675782,0.0,0,362.0753479003906
2022-07-15,114219.07492675782,114219.07492675782,0.0,0,368.09674072265625
2022-07-18,114219.07492675782,114219.07492675782,0.0,0,365.05743408203125
2022-07-20,114219.07492675782,114219.07492675782,0.0,0,377.3103942871094
2022-07-22,114219.07492675782,114219.07492675782,0.0,0,377.6161804199219
2022-07-25,114219.07492675782,114219.07492675782,0.0,0,378.07501220703125
2022-07-27,114219.07492675782,114219.07492675782,0.0,0,383.3031311035156
2022-07-29,114219.07492675782,114219.07492675782,0.0,0,393.7687683105469
2022-08-01,114219.07492675782,114219.07492675782,0.0,0,392.6026611328125
2022-08-03,114219.07492675782,114219.07492675782,0.0,0,396.1200256347656
2022-08-05,114219.07492675782,114219.07492675782,0.0,0,395.1833190917969
2022-08-08,114219.07492675782,114219.07492675782,0.0,0,394.72454833984375
2022-08-10,114219.07492675782,114219.07492675782,0.0,0,401.41497802734375
2022-08-12,114219.07492675782,114219.07492675782,0.0,0,408.2105407714844
2022-08-15,114219.07492675782,114219.07492675782,0.0,0,409.8927001953125
2022-08-17,114219.07492675782,114219.07492675782,0.0,0,407.78045654296875
2022-08-19,114219.07492675782,114219.07492675782,0.0,0,403.4699401855469
2022-08-22,114219.07492675782,114219.07492675782,0.0,0,395.0686340332031
2022-08-24,114219.07492675782,114219.07492675782,0.0,0,395.37451171875
2022-08-26,114219.07492675782,114219.07492675782,0.0,0,387.3841857910156
2022-08-29,114219.07492675782,114219.07492675782,0.0,0,384.82269287109375
2022-08-31,114219.07492675782,114219.07492675782,0.0,0,377.7022705078125
2022-09-02,114219.07492675782,114219.07492675782,0.0,0,374.8923034667969
2022-09-07,114219.07492675782,114219.07492675782,0.0,0,380.1872863769531
2022-09-09,114219.07492675782,114219.07492675782,0.0,0,388.6171569824219
2022-09-12,114219.07492675782,114219.07492675782,0.0,0,392.7939147949219
2022-09-14,114219.07492675782,114219.07492675782,0.0,0,377.14794921875
2022-09-16,114219.07492675782,114219.07492675782,0.0,0,370.0215148925781
2022-09-19,114219.07492675782,114219.07492675782,0.0,0,372.8909606933594
2022-09-21,114219.07492675782,114219.07492675782,0.0,1,362.18072509765625
2022-09-23,114219.07492675782,114219.07492675782,0.0,2,353.1211853027344
2022-09-26,114219.07492675782,114219.07492675782,0.0,3,349.6278991699219
2022-09-28,114219.07492675782,114219.07492675782,0.0,4,355.59722900390625
2022-09-30,114219.07492675782,114219.07492675782,0.0,5,342.78521728515625
2022-10-03,114219.07492675782,114219.07492675782,0.0,6,351.8351745605469
2022-10-05,115752.27492675782,115752.27492675782,0.0,6,361.892822265625
2022-10-07,116868.9191381836,116868.9191381836,0.0,6,348.1691589355469
2022-10-10,118158.22795410157,118158.22795410157,0.0,6,345.5107727050781
2022-10-12,118508.27626708985,118508.27626708985,0.0,6,342.1901550292969
2022-10-14,120092.93876708986,120092.93876708986,0.0,6,343.2171325683594
2022-10-17,121593.02376708986,121593.02376708986,0.0,6,352.0367126464844
2022-10-19,122470.52664794924,122470.52664794924,0.0,6,353.6490478515625
2022-10-24,122479.81628173831,122479.81628173831,0.0,5,363.6011047363281
2022-10-26,121762.12843994144,121762.12843994144,0.0,5,366.6241455078125
2022-10-28,120340.3227563477,120340.3227563477,0.0,5,373.342041015625
2022-10-31,120139.93963623051,120139.93963623051,0.0,4,370.64532470703125
2022-11-02,121246.65706787114,121246.65706787114,0.0,3,359.7623291015625
2022-11-04,121246.65706787114,121246.65706787114,0.0,3,361.1826477050781
2022-11-07,122770.90706787114,122770.90706787114,0.0,2,364.63763427734375
2022-11-09,123714.39249267583,123714.39249267583,0.0,1,359.05206298828125
2022-11-11,124576.84421386724,124576.84421386724,0.0,0,382.4496154785156
2022-11-14,124576.84421386724,124576.84421386724,0.0,0,379.19622802734375
2022-11-16,124576.84421386724,124576.84421386724,0.0,0,379.512939453125
2022-11-18,124576.84421386724,124576.84421386724,0.0,0,380.0694885253906
2022-11-21,124576.84421386724,124576.84421386724,0.0,0,378.6876220703125
2022-11-23,124576.84421386724,124576.84421386724,0.0,0,386.2019958496094
2022-11-25,124576.84421386724,124576.84421386724,0.0,0,386.1156311035156
2022-11-28,124576.84421386724,124576.84421386724,0.0,0,379.954345703125
2022-11-30,124576.84421386724,124576.84421386724,0.0,0,391.25006103515625
2022-12-02,124576.84421386724,124576.84421386724,0.0,0,390.5111083984375
2022-12-05,124576.84421386724,124576.84421386724,0.0,0,383.4860534667969
2022-12-07,124576.84421386724,124576.84421386724,0.0,0,377.3151550292969
2022-12-09,124576.84421386724,124576.84421386724,0.0,0,377.43035888671875
2022-12-12,124576.84421386724,124576.84421386724,0.0,1,382.871826171875
2022-12-14,124576.84421386724,124576.84421386724,0.0,1,383.3037414550781
2022-12-16,124576.84421386724,124576.84421386724,0.0,1,369.5128173828125
2022-12-19,124576.84421386724,124576.84421386724,0.0,1,366.37945556640625
2022-12-21,124576.84421386724,124576.84421386724,0.0,1,372.3666076660156
2022-12-23,124747.79290527348,124747.79290527348,0.0,0,369.165771484375
2022-12-28,124747.79290527348,124747.79290527348,0.0,0,363.14007568359375
2022-12-30,124747.79290527348,124747.79290527348,0.0,0,368.7029724121094
2023-01-04,124747.79290527348,124747.79290527348,0.0,0,369.9852294921875
2023-01-06,124747.79290527348,124747.79290527348,0.0,0,374.150146484375
2023-01-09,124747.79290527348,124747.79290527348,0.0,0,373.9380798339844
2023-01-11,124747.79290527348,124747.79290527348,0.0,0,381.32305908203125
2023-01-13,124747.79290527348,124747.79290527348,0.0,0,384.1961669921875
2023-01-20,124747.79290527348,124747.79290527348,0.0,0,381.67022705078125
2023-01-23,124747.79290527348,124747.79290527348,0.0,0,386.2496643066406
2023-01-25,124747.79290527348,124747.79290527348,0.0,0,385.97979736328125
2023-01-27,124747.79290527348,124747.79290527348,0.0,0,391.1184387207031
2023-01-30,124747.79290527348,124747.79290527348,0.0,0,386.2111511230469
2023-02-01,124747.79290527348,124747.79290527348,0.0,0,396.0546875
2023-02-03,124747.79290527348,124747.79290527348,0.0,0,397.5489807128906
2023-02-06,124747.79290527348,124747.79290527348,0.0,0,395.1194763183594
2023-02-08,124747.79290527348,124747.79290527348,0.0,0,395.9100341796875
2023-02-10,124747.79290527348,124747.79290527348,0.0,0,393.39373779296875
2023-02-13,124747.79290527348,124747.79290527348,0.0,0,398.01177978515625
2023-02-15,124747.79290527348,124747.79290527348,0.0,0,399.1205139160156
2023-02-17,124747.79290527348,124747.79290527348,0.0,0,392.64178466796875
2023-02-22,124747.79290527348,124747.79290527348,0.0,0,384.2347412109375
2023-02-24,124747.79290527348,124747.79290527348,0.0,0,382.1523132324219
2023-02-27,124747.79290527348,124747.79290527348,0.0,0,383.4537658691406
2023-03-01,124747.79290527348,124747.79290527348,0.0,0,380.57110595703125
2023-03-03,124747.79290527348,124747.79290527348,0.0,0,389.681884765625
2023-03-06,124747.79290527348,124747.79290527348,0.0,0,389.951904296875
2023-03-08,124747.79290527348,124747.79290527348,0.0,0,384.6011047363281
2023-03-10,124747.79290527348,124747.79290527348,0.0,1,372.0580749511719
2023-03-13,124747.79290527348,124747.79290527348,0.0,2,371.52777099609375
2023-03-15,124747.79290527348,124747.79290527348,0.0,2,375.30712890625
2023-03-17,124747.79290527348,124747.79290527348,0.0,2,377.4266052246094
2023-03-20,124747.79290527348,124747.79290527348,0.0,2,381.0557556152344
2023-03-22,124747.79290527348,124747.79290527348,0.0,2,379.4783020019531
2023-03-24,125123.13018310552,125123.13018310552,0.0,1,383.0010070800781
2023-03-27,125498.05143554692,125498.05143554692,0.0,0,383.7171936035156
2023-03-29,125498.05143554692,125498.05143554692,0.0,0,388.420654296875
2023-03-31,125498.05143554692,125498.05143554692,0.0,0,396.2016296386719
2023-04-03,125498.05143554692,125498.05143554692,0.0,0,397.71136474609375
2023-04-05,125498.05143554692,125498.05143554692,0.0,0,394.46929931640625
2023-04-10,125498.05143554692,125498.05143554692,0.0,0,396.41455078125
2023-04-12,125498.05143554692,125498.05143554692,0.0,0,394.90478515625
2023-04-14,125498.05143554692,125498.05143554692,0.0,0,399.1727600097656
2023-04-17,125498.05143554692,125498.05143554692,0.0,0,400.60504150390625
2023-04-19,125498.05143554692,125498.05143554692,0.0,0,400.79864501953125
2023-04-21,125498.05143554692,125498.05143554692,0.0,0,398.921142578125
2023-04-24,125498.05143554692,125498.05143554692,0.0,0,399.3372497558594
2023-04-26,125498.05143554692,125498.05143554692,0.0,0,391.3336486816406
2023-04-28,125498.05143554692,125498.05143554692,0.0,0,402.5309143066406
2023-05-01,125498.05143554692,125498.05143554692,0.0,0,402.1244812011719
2023-05-03,125498.05143554692,125498.05143554692,0.0,0,394.875732421875
2023-05-05,125498.05143554692,125498.05143554692,0.0,0,399.3372497558594
2023-05-08,125498.05143554692,125498.05143554692,0.0,0,399.4437255859375
2023-05-10,125498.05143554692,125498.05143554692,0.0,0,399.5501403808594
2023-05-12,125498.05143554692,125498.05143554692,0.0,0,398.33074951171875
2023-05-15,125498.05143554692,125498.05143554692,0.0,0,399.70501708984375
2023-05-17,125498.05143554692,125498.05143554692,0.0,0,401.853515625
2023-05-19,125498.05143554692,125498.05143554692,0.0,0,405.13427734375
2023-05-22,125498.05143554692,125498.05143554692,0.0,0,405.298828125
2023-05-24,125498.05143554692,125498.05143554692,0.0,0,397.84686279296875
2023-05-26,125498.05143554692,125498.05143554692,0.0,0,406.4891662597656
2023-06-02,125498.05143554692,125498.05143554692,0.0,0,414.13470458984375
2023-06-07,125498.05143554692,125498.05143554692,0.0,0,412.808837890625
2023-06-09,125498.05143554692,125498.05143554692,0.0,0,416.0509338378906
2023-06-12,125498.05143554692,125498.05143554692,0.0,0,419.82525634765625
2023-06-14,125498.05143554692,125498.05143554692,0.0,0,423.0964050292969
2023-06-16,125498.05143554692,125498.05143554692,0.0,0,426.8827819824219
2023-06-21,125498.05143554692,125498.05143554692,0.0,0,422.4920959472656
2023-06-23,125498.05143554692,125498.05143554692,0.0,0,420.8116149902344
2023-06-26,125498.05143554692,125498.05143554692,0.0,0,419.0923156738281
2023-06-28,125498.05143554692,125498.05143554692,0.0,0,423.9006652832031
2023-06-30,125498.05143554692,125498.05143554692,0.0,0,430.59344482421875
2023-07-05,125498.05143554692,125498.05143554692,0.0,0,430.44775390625
2023-07-07,125498.05143554692,125498.05143554692,0.0,0,425.998779296875
2023-07-10,125498.05143554692,125498.05143554692,0.0,0,427.0770263671875
2023-07-12,125498.05143554692,125498.05143554692,0.0,0,433.2550048828125
2023-07-14,125498.05143554692,125498.05143554692,0.0,0,436.4217224121094
2023-07-17,125498.05143554692,125498.05143554692,0.0,0,437.9371032714844
2023-07-19,125498.05143554692,125498.05143554692,0.0,0,442.1723327636719
2023-07-21,125498.05143554692,125498.05143554692,0.0,0,439.2387390136719
2023-07-24,125498.05143554692,125498.05143554692,0.0,0,441.2008972167969
2023-07-26,125498.05143554692,125498.05143554692,0.0,0,442.473388671875
2023-07-28,125498.05143554692,125498.05143554692,0.0,0,443.843017578125
2023-07-31,125498.05143554692,125498.05143554692,0.0,0,444.6882019042969
2023-08-02,125498.05143554692,125498.05143554692,0.0,0,437.2474365234375
2023-08-04,125498.05143554692,125498.05143554692,0.0,0,434.0224304199219
2023-08-07,125498.05143554692,125498.05143554692,0.0,0,437.810791015625
2023-08-09,125498.05143554692,125498.05143554692,0.0,0,432.9927673339844
2023-08-11,125498.05143554692,125498.05143554692,0.0,0,432.8955993652344
2023-08-14,125498.05143554692,125498.05143554692,0.0,0,435.28521728515625
2023-08-16,125498.05143554692,125498.05143554692,0.0,0,427.05767822265625
2023-08-18,125498.05143554692,125498.05143554692,0.0,0,424.0074462890625
2023-08-21,125498.05143554692,125498.05143554692,0.0,0,426.7662048339844
2023-08-23,125498.05143554692,125498.05143554692,0.0,0,430.3505859375
2023-08-25,125498.05143554692,125498.05143554692,0.0,0,427.37811279296875
2023-08-28,125498.05143554692,125498.05143554692,0.0,0,430.0882873535156
2023-08-30,125498.05143554692,125498.05143554692,0.0,0,438.1022033691406
2023-09-01,125498.05143554692,125498.05143554692,0.0,0,438.27703857421875
2023-09-06,125498.05143554692,125498.05143554692,0.0,0,433.4493103027344
2023-09-08,125498.05143554692,125498.05143554692,0.0,0,432.769287109375
2023-09-11,125498.05143554692,125498.05143554692,0.0,0,435.6155090332031
