date,spot,atm_strike,atm_iv,dte,iv_52w_high,iv_52w_low,iv_rank,iv_trend_10d,iv_trend_20d,iv_10d_ma,iv_20d_ma,iv_10d_std,iv_20d_std,iv_vol_percentile,iv_5d_change,iv_10d_change,iv_1d_change,iv_60d_mean,iv_60d_std,iv_zscore,signal_spike_fade,signal_declining_trend,signal_stagnant_iv,entry_signal,signal_type
2022-03-16,413.2789611816406,410.0,0.30279999999999996,14.0,0.3986,0.19319999999999998,53.359298928919166,0.00018515151515151226,0.0035541353383458656,0.345215,0.31616,0.027915000447788198,0.0454090809373957,,-0.19199466310873936,0.1258598252463281,-0.12913431118780572,,,,True,False,False,True,spike_fade
2022-04-11,418.6551208496094,422.0,0.24405,14.0,0.3986,0.1734,31.37211367673179,-0.002465757575757577,-0.010228984962406014,0.21492499999999998,0.2795175,0.025265383102841005,0.07128311838791335,,0.20459032576505431,-0.24594469334157265,0.15938242280285042,,,,False,True,False,True,declining_trend
2022-05-13,382.3015441894531,386.0,0.30945,14.0,0.3986,0.1734,60.412966252220244,0.007021212121212119,0.008830112781954887,0.31047,0.26008749999999997,0.037394601511745354,0.059276661500831974,,-0.07585486038524702,0.3668286219081274,-0.10872695852534564,,,,True,False,False,True,spike_fade
2022-05-20,370.7960205078125,374.0,0.2999,14.0,0.3986,0.1734,56.17229129662522,-0.0029175757575757555,0.007536203007518797,0.31635,0.2736575,0.027141982650908697,0.05566735619779904,,-0.15959086450889726,0.03306923871856693,-0.029763830475574182,,,,True,False,False,True,spike_fade
2022-05-23,377.73358154296875,374.0,0.29805,14.0,0.3986,0.1734,55.35079928952042,-0.0026224242424242408,0.006577180451127819,0.31257999999999997,0.27901750000000003,0.026763544857386502,0.05233573619330047,,-0.14156105990783419,-0.1122859270290395,-0.006168722907635926,,,,True,False,False,True,spike_fade
2022-06-06,391.884765625,395.0,0.26975000000000005,15.0,0.3986,0.1734,42.78419182948492,-0.004208484848484847,-0.00027409774436090137,0.2862,0.2941825,0.017427006500129644,0.03476985337828403,0.0,-0.09495051165911739,-0.22307027649769573,-0.04157043879907596,0.28367,0.053092991813053984,-0.2621814956108279,False,True,False,True,declining_trend
2022-06-08,391.34234619140625,395.0,0.2586,14.0,0.3986,0.1734,37.83303730017762,-0.004163939393939393,-0.0018526691729323305,0.281115,0.2957925,0.01730744942374702,0.03210977583147178,0.0,-0.08281610214577062,-0.1643238002908386,-0.04133456904541255,0.28393,0.0529283943852767,-0.47857110146999216,False,True,False,True,declining_trend
2022-06-10,370.9577941894531,374.0,0.2954,14.0,0.3986,0.1734,54.1740674955595,-0.003279090909090908,-0.0028584210526315787,0.282385,0.29894000000000004,0.01789273673247844,0.02845075431429951,3.3333333333333335,0.14651659227634384,0.04492394764768304,0.14230471771075015,0.2851658333333333,0.052302027451763024,0.19567437755841208,False,True,False,True,declining_trend
2022-06-29,363.5185241699219,365.0,0.28059999999999996,14.0,0.3986,0.1734,47.602131438721116,-0.0002945454545454578,-0.002143045112781956,0.28837999999999997,0.2949325,0.029992797283496152,0.03058299009081254,33.33333333333333,-0.20318046287093572,0.03161764705882342,0.1177056363274247,0.2871658333333333,0.0507274759999715,-0.1294334717804019,False,True,False,True,declining_trend
2022-07-01,364.3787536621094,366.0,0.27155,14.0,0.3986,0.1734,43.583481349911196,-0.0016745454545454576,-0.0014994360902255647,0.28739,0.29066749999999997,0.03040748080471143,0.027261141010796453,36.666666666666664,-0.11069264778123467,-0.03517498667614127,-0.03225231646471827,0.2854466666666667,0.04944224919691375,-0.28106865873598075,False,True,False,True,declining_trend
2022-07-06,366.2998962402344,368.0,0.2747,14.0,0.3986,0.1734,44.98223801065719,-0.0035427272727272725,-0.000834924812030076,0.287885,0.2870425,0.030127415071474258,0.023969774140955594,35.0,-0.12973229843180734,0.018350324374420524,0.011600073651261145,0.2846416666666666,0.049213127095634496,-0.20201249653059566,False,True,False,True,declining_trend
2022-07-08,371.4801940917969,373.0,0.24955,14.0,0.3986,0.1734,33.81438721136767,-0.007586060606060607,-0.0010167293233082713,0.28697999999999996,0.2840475,0.031220934927989958,0.02475207846137164,40.0,-0.08856829802775745,-0.03499613302397531,-0.09155442300691663,0.28407499999999997,0.049421217480836464,-0.6985865941766279,False,True,False,True,declining_trend
2022-07-11,367.2365417480469,368.0,0.25455000000000005,14.0,0.3986,0.1734,36.0346358792185,-0.008793636363636361,-0.0014593984962406013,0.282895,0.28264,0.032637158866679776,0.025617950121371063,45.0,0.013941445927106333,-0.1382870683818549,0.020036064916850505,0.28406333333333333,0.04942821954112499,-0.5970948095506002,False,True,False,True,declining_trend
2022-07-13,362.0753479003906,364.0,0.28315,14.0,0.3986,0.1734,48.734458259325045,-0.004162727272727269,-0.0010343233082706765,0.275995,0.2813425,0.021894614380913283,0.024853006145609174,8.333333333333332,0.009087669280114286,-0.19593923044157302,0.11235513651541917,0.2842208333333333,0.04940969016645048,-0.021672536899662687,False,False,True,True,stagnant_iv
2022-07-15,368.0968017578125,370.0,0.25865000000000005,14.0,0.3986,0.1734,37.855239786856146,-0.0031518181818181753,-0.0010654887218045103,0.27132500000000004,0.27928000000000003,0.01981977477728311,0.02494336426893203,6.666666666666667,-0.04750506352421269,-0.15293925004093656,-0.08652657601977742,0.28431166666666663,0.04935667691910767,-0.5199229013882835,False,True,True,True,declining_trend
2022-07-18,365.0574035644531,367.0,0.26445,14.0,0.3986,0.1734,40.43072824156306,-0.0005718181818181757,-0.0009809774436090218,0.26620499999999997,0.27759999999999996,0.012273853193770393,0.024743340411853162,0.0,-0.03731343283582078,-0.16220497386345623,0.022424125265803063,0.2848158333333333,0.04898925296504782,-0.415720430516947,False,True,True,True,declining_trend
2022-07-20,377.3103332519531,378.0,0.25965,14.0,0.3986,0.1734,38.299289520426285,-0.0004230303030302992,-0.0011687218045112772,0.26478999999999997,0.276485,0.012115596009551989,0.025037698418689906,0.0,0.04047285113203758,-0.051680058436815224,-0.018150879183210566,0.2838775,0.048921940959076746,-0.49522769385348675,False,True,True,True,declining_trend
2022-07-22,377.6162414550781,379.0,0.24125000000000002,14.0,0.3986,0.1734,30.128774422735354,-0.0026230303030303,-0.0019694736842105253,0.26381,0.275665,0.013649700851423032,0.025939342705627758,3.3333333333333335,-0.05224906698094689,-0.039036048595897155,-0.07086462545734629,0.28308916666666667,0.04922552828448879,-0.849948555653193,False,True,False,True,declining_trend
2022-07-25,378.0750427246094,380.0,0.236,14.0,0.3986,0.1734,27.797513321492,-0.003020606060606062,-0.002593984962406014,0.25935,0.27386499999999997,0.014792659591087167,0.027414191964247932,5.0,-0.16651951262581677,-0.15894511760513175,-0.021761658031088205,0.28254,0.04956854251215846,-0.9389019253205685,False,True,False,True,declining_trend
2022-07-27,383.3031005859375,385.0,0.23995,14.0,0.3986,0.1734,29.551509769094135,-0.003265454545454548,-0.002958721804511278,0.25619000000000003,0.27179000000000003,0.015264588650424609,0.02836399032873241,6.666666666666667,-0.072298472839745,-0.11636899281900204,0.016737288135593165,0.2809608333333333,0.04938760574262231,-0.830387153146408,False,True,False,True,declining_trend
2022-09-19,372.8910217285156,374.0,0.27080000000000004,14.0,0.3986,0.1734,43.25044404973359,0.0018496969696969717,0.0043937218045112785,0.26475,0.2374525,0.012706013449457251,0.030479421336370733,6.666666666666667,-0.002026902524414731,0.23935926773455396,-0.04580690627202244,0.26687333333333335,0.03937855872179231,0.0997158553823264,False,False,True,True,stagnant_iv
2022-10-05,361.892822265625,362.0,0.29000000000000004,14.0,0.3986,0.1734,51.77619893428065,0.0035918181818181813,0.0049682330827067675,0.29974500000000004,0.27373250000000005,0.019992893876464603,0.033558512430960856,40.0,-0.07496012759170645,0.16092874299439575,-0.038620918282777805,0.2681516666666667,0.039099248948817146,0.5587916371982978,True,False,False,True,spike_fade
2022-10-26,366.62408447265625,367.0,0.2944,14.0,0.3986,0.1734,53.73001776198934,-0.0006024242424242414,0.0021164661654135336,0.30429,0.29730500000000004,0.011607990542917635,0.022956090236522717,1.6666666666666667,-0.11017077225328697,-0.09540636042402828,-0.027901601452864466,0.26758583333333336,0.037517873810038654,0.7147037916496211,True,False,False,True,spike_fade
2022-10-31,370.6452941894531,371.0,0.28245,14.0,0.3986,0.1734,48.42362344582592,-0.0033506060606060574,0.0002645112781954879,0.302865,0.30130500000000005,0.013104071674272282,0.016529979940765504,18.333333333333332,-0.041567695961995166,-0.026034482758620858,-0.04238006441769815,0.26838166666666663,0.03770118795802493,0.3731535820302665,False,False,True,True,stagnant_iv
2022-11-02,359.7622985839844,360.0,0.27749999999999997,14.0,0.3986,0.1734,46.22557726465363,-0.004078484848484847,-0.0004916917293233093,0.29934499999999997,0.3014325,0.014788141833540462,0.01632455588982453,25.0,-0.08203771088322875,-0.11256795650783502,-0.017525225703664438,0.2683158333333333,0.03768142496548365,0.24373193622797962,False,True,False,True,declining_trend
2022-11-04,361.1827087402344,361.0,0.27059999999999995,14.0,0.3986,0.1734,43.161634103019516,-0.004956060606060609,-0.0012105639097744379,0.295435,0.3007725,0.016780843079072794,0.01731193287119746,36.666666666666664,-0.10648836057454203,-0.12625121084920898,-0.024864864864864944,0.26832999999999996,0.037682133067839574,0.06024075112503019,False,True,False,True,declining_trend
2022-11-07,364.6376037597656,365.0,0.2564,14.0,0.3986,0.1734,36.85612788632328,-0.004724242424242426,-0.0023177067669172945,0.28799,0.3000525,0.0158099792676798,0.01885478771391625,31.666666666666664,-0.12907608695652162,-0.22502644703037622,-0.05247597930524739,0.26829333333333333,0.037692830171369186,-0.31553304114497827,False,True,False,True,declining_trend
2022-11-09,359.0520935058594,360.0,0.27215,14.0,0.3986,0.1734,43.849911190053284,-0.004537575757575758,-0.0027589849624060155,0.28483,0.2987925,0.01546419161231012,0.019860104646727127,31.666666666666664,-0.07730123749788109,-0.10403292181069967,0.06142745709828379,0.26790583333333334,0.037528590334758374,0.11309155576610565,False,True,False,True,declining_trend
2022-11-30,391.25,391.0,0.23904999999999998,14.0,0.3986,0.1734,29.15186500888099,-0.004238787878787882,-0.006679624060150377,0.21393999999999996,0.250965,0.02674710576243118,0.04359217729194805,78.33333333333333,0.12045933911413176,-0.0676677067082685,0.18959940283652643,0.25612,0.04089044809931412,-0.41745690725962853,False,True,False,True,declining_trend
2023-02-10,393.39373779296875,392.0,0.22115,14.0,0.3986,0.1734,21.20337477797514,-0.0006615151515151513,0.00045981203007518804,0.219415,0.21588749999999995,0.011156688327835321,0.0169932716948426,0.0,-0.047793326157158256,0.2629925756710454,0.061944777911164595,0.25141749999999996,0.043802636931109924,-0.6909972120537583,False,False,True,True,stagnant_iv
2023-05-15,399.7049865722656,396.0,0.19475,11.0,0.3986,0.14365,20.04314571484605,-0.0018366666666666648,-0.00030740601503759327,0.192055,0.18952249999999998,0.01301626013022894,0.016150887827967354,5.0,-0.032057654075546616,0.006720082708710162,0.06508066721356309,0.21332916666666668,0.029420822056499898,-0.6314971971546937,False,False,True,True,stagnant_iv
2023-05-26,406.48919677734375,403.0,0.20295000000000002,14.0,0.3986,0.14365,23.25946263973329,0.000613939393939395,0.0005678947368421059,0.18784,0.18674,0.011497966003699595,0.015934170498450476,5.0,0.04210526315789487,0.00869781312127249,0.08413461538461542,0.21157666666666666,0.030135152437467175,-0.28626590439745275,False,False,True,True,stagnant_iv
2023-10-13,420.6290283203125,423.0,0.1812,14.0,0.3986,0.1185,22.38486254908961,-0.0007112121212121216,0.002075902255639098,0.172345,0.1582575,0.009381170561881933,0.0188504381842134,5.0,-0.005488474204171201,0.2385509227614493,0.1940691927512357,0.15527083333333333,0.022081791892691167,1.1742329061279189,False,False,True,True,stagnant_iv
2024-10-21,576.6196899414062,572.0,0.14650000000000002,11.0,0.30369999999999997,0.1024,21.907600596125196,-0.002153333333333332,-0.0006489097744360893,0.14647000000000002,0.15358750000000002,0.007998895757124069,0.017511183456655168,11.666666666666666,0.00034141345169014237,-0.25426317129040465,0.06856309263311466,0.1485058333333333,0.02539238356991362,-0.0789935032215691,False,False,True,True,stagnant_iv
2024-11-15,578.7142333984375,574.0,0.14615,14.0,0.24575,0.1024,30.519707010812695,-0.012020000000000001,-0.0006562781954887228,0.16646,0.1704675,0.0439260729964437,0.039749525899191875,95.0,0.023101155057752898,-0.38437236731255264,0.1395711500974659,0.16312583333333333,0.02865636186896373,-0.5923931799493014,False,True,False,True,declining_trend
2024-11-18,581.0853881835938,576.0,0.14575,11.0,0.24575,0.1024,30.240669689570975,-0.009213636363636365,-0.0015204511278195502,0.158485,0.17085,0.03897673843318473,0.039457402080564905,90.0,0.03332151719248477,-0.35365853658536595,-0.002736914129319312,0.16278666666666666,0.028740867181205762,-0.5927680107650787,False,True,False,True,declining_trend
2024-11-19,583.2095947265625,578.0,0.14134999999999998,13.0,0.24575,0.1024,27.171259155912086,-0.004330606060606063,-0.002474774436090227,0.14804499999999998,0.1710625,0.02417796804714774,0.039277105541738196,53.333333333333336,-0.020782819535850372,-0.4248219735503561,-0.030188679245283123,0.16240166666666667,0.02887262495429606,-0.7291220212914635,False,True,False,True,declining_trend
2024-12-03,596.6561279296875,592.0,0.13175,17.0,0.24575,0.1024,20.47436344611092,-0.002792727272727271,-0.0034733458646616536,0.1321,0.1452925,0.012460114142512838,0.031246731513282548,13.333333333333334,0.014632268001540272,-0.0960548885077186,0.04729729729729737,0.15912583333333333,0.030453734695779652,-0.8989318915005563,False,False,True,True,stagnant_iv
2025-01-16,586.5008544921875,592.0,0.13155,13.0,0.24575,0.0877,27.74438468838975,-0.00011393939393939427,-0.0008361654135338342,0.14279,0.142825,0.015998781203579397,0.031114100289773954,43.333333333333336,-0.026276831976313808,0.013482280431432736,0.10222036028487635,0.14781583333333334,0.03393781263447111,-0.4792834915003304,False,True,False,True,declining_trend
2025-01-21,597.8117065429688,603.0,0.12785,17.0,0.24575,0.0877,25.40335336918696,-0.0015766666666666672,-0.00022563909774436103,0.14087500000000003,0.13852499999999998,0.015925438246193985,0.025302753646693703,45.0,-0.24237037037037046,-0.002730109204368114,-0.0405253283302065,0.14758083333333333,0.034037115947237476,-0.5796858160344438,False,True,False,True,declining_trend
2025-01-28,599.26904296875,605.0,0.13415,13.0,0.24575,0.0877,29.389433723505213,-0.000370606060606061,-0.0004661278195488729,0.13118500000000002,0.1364875,0.01701148386629852,0.016350823856597658,43.333333333333336,0.04927649589362537,-0.20503703703703713,-0.17037724180581337,0.14459166666666665,0.03365256452144616,-0.31027848293738125,False,True,False,True,declining_trend
